year	chem_code	ai_group	ago_ind	unit_treated	num_recs	num_recs_trim	median_rate	mean_rate	mean_rate_trim	sd_rate	sd_rate_trim_orig	sd_rate_trim	sum_sq_rate_trim	med50	med100	med150	med200	med250	med300	med400	med500	mean3sd	mean5sd	mean7sd	mean8sd	mean10sd	mean12sd	mean15sd
2017	12	1	A	A	1	1	-1.0041823523146858	-1.0041823523146858	-1.0041823523146858	0.0	0	0	0	0.694787652021333	0.9958176476853142	1.1719089067409956	1.2968476433492955	1.3937576563573517	1.4729389024049768	1.5978776390132767	1.694787652021333	-1.0041823523146858	-1.0041823523146858	-1.0041823523146858	-1.0041823523146858	-1.0041823523146858	-1.0041823523146858	-1.0041823523146858
2017	62	1	A	A	10	8	-1.9700367766225568	-1.1034736302367212	-1.3386737545761893	1.698471573520707	1.3561889421538538	3.7287558655043824	12.874739127742721	-0.2710667722865381	0.02996322337744317	0.20605448243312452	0.3309932190414244	0.42790323204948066	0.5070844780971058	0.6320232147054057	0.7289332277134619	9.847593841936957	17.305105572945724	24.76261730395449	28.49137316945887	35.94888490046763	43.4063966314764	54.592664227989545
2017	63	1	A	A	1	1	-3.9030899869919438	-3.9030899869919438	-3.9030899869919438	0.0	0	0	0	-2.204119982655925	-1.9030899869919438	-1.7269987279362624	-1.6020599913279625	-1.5051499783199063	-1.4259687322722812	-1.3010299956639813	-1.204119982655925	-3.9030899869919438	-3.9030899869919438	-3.9030899869919438	-3.9030899869919438	-3.9030899869919438	-3.9030899869919438	-3.9030899869919438
2017	68	1	A	A	1	1	-1.081187457835623	-1.081187457835623	-1.081187457835623	0.0	0	0	0	0.6177825465003957	0.9188125421643769	1.0949038012200583	1.2198425378283582	1.3167525508364144	1.3959337968840395	1.5208725334923394	1.6177825465003957	-1.081187457835623	-1.081187457835623	-1.081187457835623	-1.081187457835623	-1.081187457835623	-1.081187457835623	-1.081187457835623
2017	72	1	A	A	1	1	-0.687129738855383	-0.687129738855383	-0.687129738855383	0.0	0	0	0	1.0118402654806358	1.312870261144617	1.4889615202002984	1.6139002568085983	1.7108102698166545	1.7899915158642796	1.9149302524725795	2.011840265480636	-0.687129738855383	-0.687129738855383	-0.687129738855383	-0.687129738855383	-0.687129738855383	-0.687129738855383	-0.687129738855383
2017	86	1	A	A	387	349	-1.494850021680094	-1.5607709787654447	-1.5243448007127562	0.7540756096587822	0.4880452153192377	0.4894377566180057	82.88947000420839	0.2041199826559248	0.505149978319906	0.6812412373755874	0.8061799739838873	0.9030899869919435	0.9822712330395686	1.1072099696478686	1.2041199826559248	-0.05603153085873913	0.9228439823772723	1.9017194956132837	2.3911572522312894	3.370032765467301	4.348908278703313	5.817221548557329
2017	105	1	A	A	12242	11018	-0.05863398274021332	-0.032661907662909086	-0.03900529873221432	0.47362231466761656	0.3328835247283326	0.3328862092619451	1220.8096458887471	1.6403360215958054	1.9413660172597866	2.117457276315468	2.242396012923768	2.3393060259318244	2.4184872719794495	2.5434260085877494	2.6403360215958056	0.959653329053621	1.6254257475775113	2.2911981661014016	2.6240843753633465	3.2898567938872367	3.955629212411127	4.9542878401969626
2017	106	1	A	A	555	499	-0.3396130241939149	-0.2699367100217015	-0.2777853682149581	0.4379129562125801	0.39051618823571654	0.3911229516191852	75.94644085052849	1.359356980142104	1.6603869758060852	1.8364782348617665	1.9614169714700664	2.0583269844781227	2.137508230525748	2.2624469671340477	2.359356980142104	0.8955834866425976	1.677829389880968	2.460075293119338	2.8511982447385233	3.6334441479768937	4.415690051215265	5.58905890607282
2017	110	1	A	A	7	7	-0.01821673843415695	0.3885163542968285	0.3885163542968285	1.1554613746870546	1.1554613746870546	3.691991441568277	8.010545930362186	1.6807532659018618	1.981783261565843	2.157874520621524	2.282813257229824	2.3797232702378803	2.4589045162855054	2.5838432528938053	2.6807532659018616	11.46449067900166	18.848473562138214	26.232456445274767	29.924447886843044	37.308430769979594	44.69241365311615	55.76838797782098
2017	111	1	A	A	11171	10053	-0.03621217265444473	-0.035742098169481894	-0.011360442392282736	0.17498694980925503	0.08203187845810611	0.08203265155022622	67.64221074598994	1.662757831681574	1.9637878273455553	2.1398790864012365	2.2648178230095364	2.3617278360175926	2.4409090820652177	2.5658478186735176	2.662757831681574	0.23473751225839595	0.3988028153588484	0.5628681184593008	0.6449007700095271	0.8089660731099795	0.973031376210432	1.2191293308611104
2017	130	1	A	A	1	1	1.389015790343904	1.389015790343904	1.389015790343904	0.0	0	0	0	3.0879857946799225	3.3890157903439038	3.565107049399585	3.690045786007885	3.7869557990159413	3.8661370450635664	3.9910757816718663	4.0879857946799225	1.389015790343904	1.389015790343904	1.389015790343904	1.389015790343904	1.389015790343904	1.389015790343904	1.389015790343904
2017	170	1	A	A	2	2	-0.48634914603898216	-0.48634914603898216	-0.48634914603898216	0.0515650027873289	0.0515650027873289	1.003824479373354	0.002658949512457237	1.2126208582970366	1.5136508539610178	1.6897421130166992	1.814680849624999	1.9115908626330553	1.9907721086806804	2.11571084528898	2.2126208582970364	2.5251242920810792	4.532773250827788	6.540422209574495	7.544246688947849	9.551895647694558	11.559544606441264	14.571018044561328
2017	173	1	A	A	10014	9012	0.7604224834232121	0.788463590167665	0.7984284122537196	0.2534448421900574	0.13741649108794496	0.13741805061923906	170.15734441856148	2.4593924877592306	2.760422483423212	2.936513742478893	3.061452479087193	3.1583624920952493	3.2375437381428744	3.3624824747511743	3.4593924877592306	1.210682564111437	1.485518665349915	1.7603547665883932	1.897772817207632	2.17260891844611	2.4474450196845883	2.8596991715423057
